Trial noise_type coaxial_lum test_lum match_lum response_time match_initial grating_freq grating_contrast noise_freq rep view_count
0 global -1.0 0.5 0.532471380864 125.297770023 0.552471380864 .2 0.1 1.73 4 21
1 global 1.0 0.5 0.476329511662 47.6075320244 0.526329511662 .2 0.1 5.2 6 19
2 global 1.0 0.5 0.465367352257 48.6681330204 0.415367352257 .2 0.1 1.0 1 17
3 none 1.0 0.5 0.523187041455 71.4901120663 0.453187041455 .2 0.1 0.0 9 21
4 global 1.0 0.5 0.461314497055 76.0073199272 0.531314497055 .2 0.1 1.0 6 31
5 global 1.0 0.5 0.477928005651 59.2903959751 0.437928005651 .2 0.1 9.0 8 14
6 global -1.0 0.5 0.544206062566 18.1210720539 0.584206062566 .2 0.1 1.0 7 9
7 global -1.0 0.5 0.591920874786 27.0104370117 0.401920874786 .2 0.1 0.58 3 11
8 global 1.0 0.5 0.513702486332 29.6196489334 0.493702486332 .2 0.1 0.58 4 12
9 global 1.0 0.5 0.498971346465 29.7540338039 0.418971346465 .2 0.1 1.73 9 12
10 global -1.0 0.5 0.583179221165 23.0549080372 0.523179221165 .2 0.1 0.58 5 9
11 global -1.0 0.5 0.555296332045 36.19795084 0.435296332045 .2 0.1 5.2 5 15
12 global 1.0 0.5 0.487510623678 35.5500109196 0.527510623678 .2 0.1 0.58 9 17
13 none 1.0 0.5 0.523581173501 33.4903140068 0.473581173501 .2 0.1 0.0 6 15
14 global 1.0 0.5 0.499874857877 21.6451349258 0.539874857877 .2 0.1 0.58 7 9
15 global -1.0 0.5 0.536861042367 32.854514122 0.566861042367 .2 0.1 9.0 9 16
16 none -1.0 0.5 0.553049742951 22.9553608894 0.433049742951 .2 0.1 0.0 7 10
17 global -1.0 0.5 0.521243510178 22.6361060143 0.451243510178 .2 0.1 3.0 6 12
18 global -1.0 0.5 0.534238948525 30.7393801212 0.414238948525 .2 0.1 9.0 6 14
19 global 1.0 0.5 0.479655014782 30.3222439289 0.439655014782 .2 0.1 1.73 8 16
20 global -1.0 0.5 0.513764936249 22.909291029 0.483764936249 .2 0.1 1.0 1 11
21 global 1.0 0.5 0.482018017497 36.9941501617 0.582018017497 .2 0.1 9.0 0 16
22 global 1.0 0.5 0.502593239397 18.2381939888 0.492593239397 .2 0.1 9.0 9 9
