Trial noise_type coaxial_lum test_lum match_lum response_time match_initial grating_freq grating_contrast noise_freq rep view_count
0 global -1.0 0.5 0.529555268537 28.6687459946 0.569555268537 .4 0.1 3.0 0 7
1 none -1.0 0.5 0.544595948408 11.6546099186 0.564595948408 .4 0.1 0.0 1 6
2 global 1.0 0.5 0.451796857708 11.54611516 0.521796857708 .4 0.1 5.2 3 5
3 global 1.0 0.5 0.431310840696 10.2811529636 0.531310840696 .4 0.1 9.0 0 6
4 global 1.0 0.5 0.484583394617 11.7143940926 0.414583394617 .4 0.1 3.0 3 5
5 global 1.0 0.5 0.50453196192 8.53952503204 0.59453196192 .4 0.1 1.73 2 4
6 global -1.0 0.5 0.532946690626 8.39571094513 0.522946690626 .4 0.1 3.0 3 3
7 global -1.0 0.5 0.514883482144 8.18513417244 0.444883482144 .4 0.1 3.0 2 4
8 global -1.0 0.5 0.596124097413 11.1867699623 0.546124097413 .4 0.1 0.58 4 5
9 global 1.0 0.5 0.541385186904 9.71103096008 0.481385186904 .4 0.1 1.73 0 4
10 global -1.0 0.5 0.571729454877 8.41281294823 0.431729454877 .4 0.1 1.0 2 4
11 none 1.0 0.5 0.509925653035 12.6262969971 0.519925653035 .4 0.1 0.0 0 6
12 global 1.0 0.5 0.491509243569 18.7804529667 0.541509243569 .4 0.1 0.58 1 10
13 global 1.0 0.5 0.461446908762 9.89210104942 0.491446908762 .4 0.1 1.0 4 4
14 global 1.0 0.5 0.501450031465 12.0293979645 0.521450031465 .4 0.1 1.0 1 6
15 global 1.0 0.5 0.47040421067 8.83940196037 0.44040421067 .4 0.1 3.0 2 4
16 global 1.0 0.5 0.484947631073 9.43313503265 0.474947631073 .4 0.1 5.2 0 5
17 global -1.0 0.5 0.549047221761 11.6099319458 0.419047221761 .4 0.1 0.58 1 6
18 global 1.0 0.5 0.414805980922 14.5118620396 0.534805980922 .4 0.1 0.58 2 7
19 global 1.0 0.5 0.460288104945 14.1546940804 0.430288104945 .4 0.1 0.58 3 6
20 global 1.0 0.5 0.495557457638 25.6421129704 0.555557457638 .4 0.1 1.73 4 8
21 none -1.0 0.5 0.553242429804 9.24642896652 0.533242429804 .4 0.1 0.0 4 5
22 global -1.0 0.5 0.548625915446 11.0391290188 0.518625915446 .4 0.1 5.2 4 5
23 global 1.0 0.5 0.466552647587 15.320002079 0.566552647587 .4 0.1 9.0 2 8
24 global -1.0 0.5 0.52502876043 12.0754859447 0.43502876043 .4 0.1 5.2 2 7
25 none 1.0 0.5 0.513826276498 12.738268137 0.503826276498 .4 0.1 0.0 2 6
26 global 1.0 0.5 0.54692045948 11.7751760483 0.40692045948 .4 0.1 1.73 3 4
27 global -1.0 0.5 0.545177335036 10.746683836 0.485177335036 .4 0.1 9.0 1 5
28 global 1.0 0.5 0.464326497245 10.9156980515 0.594326497245 .4 0.1 5.2 2 5
29 global -1.0 0.5 0.519076594546 13.2061901093 0.409076594546 .4 0.1 9.0 0 6
30 global -1.0 0.5 0.526911975715 13.2037899494 0.496911975715 .4 0.1 9.0 4 6
31 global -1.0 0.5 0.550932375392 10.3905169964 0.480932375392 .4 0.1 0.58 2 5
32 global 1.0 0.5 0.47676938906 16.9139900208 0.53676938906 .4 0.1 9.0 3 10
33 global -1.0 0.5 0.544191519124 14.9655299187 0.404191519124 .4 0.1 9.0 3 8
34 global -1.0 0.5 0.569007630504 16.2738339901 0.439007630504 .4 0.1 1.0 4 8
35 none -1.0 0.5 0.520799836347 13.7394659519 0.410799836347 .4 0.1 0.0 0 5
36 global -1.0 0.5 0.522204494448 12.3177540302 0.462204494448 .4 0.1 5.2 0 7
37 global 1.0 0.5 0.465048815578 25.9816770554 0.505048815578 .4 0.1 9.0 1 12
38 global 1.0 0.5 0.519287124372 18.8275709152 0.539287124372 .4 0.1 1.0 3 10
39 global 1.0 0.5 0.510867441077 12.4853320122 0.500867441077 .4 0.1 3.0 1 6
40 global 1.0 0.5 0.467060677037 15.2435190678 0.497060677037 .4 0.1 1.0 0 7
41 global 1.0 0.5 0.434037372898 6.4333999157 0.424037372898 .4 0.1 0.58 0 3
42 global 1.0 0.5 0.506498937062 19.8565208912 0.596498937062 .4 0.1 5.2 4 10
43 global 1.0 0.5 0.487838780318 15.5573348999 0.487838780318 .4 0.1 5.2 1 7
44 none 1.0 0.5 0.538084622665 21.1474380493 0.518084622665 .4 0.1 0.0 3 11
45 global 1.0 0.5 0.436684268726 10.9219360352 0.526684268726 .4 0.1 3.0 4 5
46 global -1.0 0.5 0.5312575426 43.2348279953 0.5512575426 .4 0.1 0.58 0 6
47 global 1.0 0.5 0.475962292764 9.16097211838 0.455962292764 .4 0.1 0.58 4 5
48 global 1.0 0.5 0.440728757237 11.7020609379 0.410728757237 .4 0.1 3.0 0 6
49 global -1.0 0.5 0.55934818585 8.35818099976 0.45934818585 .4 0.1 1.0 3 4
50 global -1.0 0.5 0.518185220213 10.8731851578 0.508185220213 .4 0.1 9.0 2 6
51 global -1.0 0.5 0.543551573788 26.9316189289 0.543551573788 .4 0.1 1.0 1 14
52 global -1.0 0.5 0.544033956984 17.3807690144 0.474033956984 .4 0.1 1.73 4 8
53 global -1.0 0.5 0.52638129865 13.4718139172 0.55638129865 .4 0.1 5.2 3 6
54 none -1.0 0.5 0.540775839102 12.6015679836 0.530775839102 .4 0.1 0.0 3 6
55 global -1.0 0.5 0.565455727855 11.5362048149 0.415455727855 .4 0.1 1.0 0 6
56 none 1.0 0.5 0.517302555868 23.1678450108 0.587302555868 .4 0.1 0.0 1 11
57 global -1.0 0.5 0.562563804784 8.55581092834 0.492563804784 .4 0.1 1.73 1 5
58 none -1.0 0.5 0.538786295379 9.18220114708 0.458786295379 .4 0.1 0.0 2 5
59 global -1.0 0.5 0.555991791092 13.5236361027 0.505991791092 .4 0.1 1.73 0 7
60 global -1.0 0.5 0.559730376134 7.16513991356 0.489730376134 .4 0.1 0.58 3 4
61 global -1.0 0.5 0.51418887529 13.7288780212 0.58418887529 .4 0.1 5.2 1 7
62 global -1.0 0.5 0.53052064589 10.8875730038 0.41052064589 .4 0.1 3.0 4 6
63 global -1.0 0.5 0.551668368091 11.9772369862 0.451668368091 .4 0.1 3.0 1 6
64 global 1.0 0.5 0.449908022645 13.5577969551 0.579908022645 .4 0.1 9.0 4 7
65 global -1.0 0.5 0.537303363821 9.86786293983 0.447303363821 .4 0.1 1.73 2 5
66 global 1.0 0.5 0.512019093657 7.02873587608 0.412019093657 .4 0.1 1.73 1 4
67 none 1.0 0.5 0.506341461274 12.4382121563 0.496341461274 .4 0.1 0.0 4 6
68 global 1.0 0.5 0.483711235245 8.8542330265 0.533711235245 .4 0.1 1.0 2 5
69 global -1.0 0.5 0.52178726066 8.05016183853 0.56178726066 .4 0.1 1.73 3 3
