Trial noise_type coaxial_lum test_lum match_lum response_time match_initial grating_freq grating_contrast noise_freq rep view_count
0 global 1.0 0.5 0.43035739886 17.9618971348 0.40035739886 .2 0.1 3.0 4 8
1 global -1.0 0.5 0.531345006812 15.2227089405 0.511345006812 .2 0.1 1.73 4 7
2 global -1.0 0.5 0.493525280629 13.530518055 0.493525280629 .2 0.1 1.0 3 6
3 global -1.0 0.5 0.485893758594 15.7316570282 0.525893758594 .2 0.1 5.2 1 7
4 global -1.0 0.5 0.531083740655 65.6837108135 0.591083740655 .2 0.1 1.0 0 12
5 global -1.0 0.5 0.538079427672 18.9409401417 0.568079427672 .2 0.1 9.0 2 7
6 global -1.0 0.5 0.507874946302 6.37154793739 0.447874946302 .2 0.1 3.0 3 3
7 global -1.0 0.5 0.500523655367 25.1253969669 0.590523655367 .2 0.1 5.2 3 10
8 global 1.0 0.5 0.482733703792 14.146684885 0.492733703792 .2 0.1 1.0 0 6
9 global -1.0 0.5 0.489226140863 18.8543441296 0.409226140863 .2 0.1 5.2 2 8
10 none -1.0 0.5 0.523493532497 15.5644841194 0.413493532497 .2 0.1 0.0 3 7
11 global -1.0 0.5 0.527322272942 21.2409911156 0.407322272942 .2 0.1 0.58 0 10
12 global 1.0 0.5 0.457175130283 13.0780920982 0.427175130283 .2 0.1 3.0 2 5
13 global 1.0 0.5 0.444794183093 24.0582718849 0.454794183093 .2 0.1 0.58 3 10
14 global -1.0 0.5 0.487521020971 24.0989129543 0.457521020971 .2 0.1 3.0 0 11
15 global -1.0 0.5 0.547032760972 19.7936809063 0.457032760972 .2 0.1 0.58 4 9
16 none 1.0 0.5 0.486155381983 17.4829030037 0.406155381983 .2 0.1 0.0 0 8
17 global -1.0 0.5 0.508041082304 26.7897880077 0.598041082304 .2 0.1 1.0 2 12
18 global 1.0 0.5 0.47595080679 28.9957640171 0.51595080679 .2 0.1 1.73 0 14
19 none -1.0 0.5 0.523177604236 26.5086050034 0.503177604236 .2 0.1 0.0 1 11
20 global -1.0 0.5 0.516584956931 18.9504737854 0.456584956931 .2 0.1 1.73 1 9
21 global 1.0 0.5 0.450944348173 17.8598840237 0.420944348173 .2 0.1 1.0 1 7
22 global -1.0 0.5 0.525212339724 5.96080708504 0.545212339724 .2 0.1 9.0 4 3
23 global -1.0 0.5 0.511228901753 25.3887679577 0.551228901753 .2 0.1 9.0 0 10
24 global 1.0 0.5 0.474237862154 18.5856130123 0.404237862154 .2 0.1 1.73 1 8
25 global 1.0 0.5 0.436853679378 13.2314162254 0.406853679378 .2 0.1 1.73 4 6
26 global -1.0 0.5 0.523640373235 19.7769429684 0.483640373235 .2 0.1 9.0 3 8
27 global 1.0 0.5 0.440789498922 20.0381700993 0.470789498922 .2 0.1 1.0 3 9
28 global 1.0 0.5 0.451912648859 19.0999939442 0.481912648859 .2 0.1 1.0 2 9
29 none -1.0 0.5 0.510374876837 19.4294741154 0.450374876837 .2 0.1 0.0 4 9
30 global 1.0 0.5 0.455165428358 14.6340939999 0.515165428358 .2 0.1 9.0 3 7
31 global -1.0 0.5 0.491440293129 14.4955370426 0.551440293129 .2 0.1 3.0 2 7
32 global -1.0 0.5 0.507136798077 26.4832060337 0.557136798077 .2 0.1 1.0 4 12
33 global 1.0 0.5 0.465359920154 23.633177042 0.495359920154 .2 0.1 5.2 1 12
34 global -1.0 0.5 0.501152044312 42.4540269375 0.491152044312 .2 0.1 3.0 4 9
35 global 1.0 0.5 0.449833472053 31.8092310429 0.449833472053 .2 0.1 0.58 0 15
36 global -1.0 0.5 0.500412205364 17.2656400204 0.470412205364 .2 0.1 0.58 3 8
37 global -1.0 0.5 0.502799708555 18.9176130295 0.402799708555 .2 0.1 3.0 1 10
38 global 1.0 0.5 0.463286146159 12.8649468422 0.523286146159 .2 0.1 1.73 2 6
39 global 1.0 0.5 0.474635194007 10.2503020763 0.464635194007 .2 0.1 9.0 1 6
40 global -1.0 0.5 0.522397625496 25.1398820877 0.402397625496 .2 0.1 0.58 1 14
41 global 1.0 0.5 0.436713116942 12.6633210182 0.476713116942 .2 0.1 9.0 2 7
42 global 1.0 0.5 0.45506165178 14.4745941162 0.59506165178 .2 0.1 5.2 4 8
43 global 1.0 0.5 0.442633324238 7.29600787163 0.472633324238 .2 0.1 9.0 0 4
44 none -1.0 0.5 0.500966461374 20.9950861931 0.400966461374 .2 0.1 0.0 2 11
