Trial noise_type coaxial_lum test_lum match_lum response_time match_initial grating_freq grating_contrast noise_freq rep view_count
0 global 1.0 0.5 0.520473438863 8.94927692413 0.570473438863 .2 0.1 1.73 6 4
1 none -1.0 0.5 0.522856032719 5.50298285484 0.422856032719 .2 0.1 0.0 1 3
2 global 1.0 0.5 0.544060224401 5.69487404823 0.544060224401 .2 0.1 1.73 2 2
3 none -1.0 0.5 0.508562482314 8.81789016724 0.468562482314 .2 0.1 0.0 8 5
4 global -1.0 0.5 0.534843417299 3.78700590134 0.534843417299 .2 0.1 3.0 9 2
5 none 1.0 0.5 0.525930189201 12.0710840225 0.595930189201 .2 0.1 0.0 6 6
6 global 1.0 0.5 0.508024258083 10.2023220062 0.408024258083 .2 0.1 1.0 1 5
7 global -1.0 0.5 0.553843831188 7.67996501923 0.503843831188 .2 0.1 0.58 8 4
8 global 1.0 0.5 0.558569364537 5.56990385056 0.558569364537 .2 0.1 1.73 4 3
9 global 1.0 0.5 0.534244218951 9.36710214615 0.584244218951 .2 0.1 3.0 3 4
10 global -1.0 0.5 0.53120522297 10.8213839531 0.43120522297 .2 0.1 9.0 1 5
11 none 1.0 0.5 0.529988259938 4.94080495834 0.529988259938 .2 0.1 0.0 3 3
12 global 1.0 0.5 0.528261659744 12.2091670036 0.408261659744 .2 0.1 0.58 4 6
13 none 1.0 0.5 0.481879091914 8.27317714691 0.411879091914 .2 0.1 0.0 5 4
14 global 1.0 0.5 0.491453232857 17.5811851025 0.571453232857 .2 0.1 5.2 8 8
15 global -1.0 0.5 0.528954453198 24.7753880024 0.438954453198 .2 0.1 9.0 6 12
16 global -1.0 0.5 0.542717508306 4.58094215393 0.592717508306 .2 0.1 0.58 9 2
17 none -1.0 0.5 0.531536643162 7.14511990547 0.481536643162 .2 0.1 0.0 9 3
18 none 1.0 0.5 0.515812513968 6.95050597191 0.465812513968 .2 0.1 0.0 0 3
19 global -1.0 0.5 0.495477849065 4.29799294472 0.545477849065 .2 0.1 5.2 3 2
20 global -1.0 0.5 0.476723035306 15.2597281933 0.566723035306 .2 0.1 3.0 8 7
21 global 1.0 0.5 0.50696330615 9.75562906265 0.57696330615 .2 0.1 9.0 7 5
22 global 1.0 0.5 0.510074083476 15.3915498257 0.410074083476 .2 0.1 5.2 3 7
23 global 1.0 0.5 0.510094139282 6.98653411865 0.410094139282 .2 0.1 3.0 1 3
24 global 1.0 0.5 0.506144025123 4.12010717392 0.506144025123 .2 0.1 0.58 3 2
25 global -1.0 0.5 0.491210545068 4.92243599892 0.491210545068 .2 0.1 1.73 7 2
26 global -1.0 0.5 0.512953374778 10.3220310211 0.532953374778 .2 0.1 5.2 7 4
27 global 1.0 0.5 0.523369222499 4.50218200684 0.573369222499 .2 0.1 0.58 2 2
28 global -1.0 0.5 0.454864388851 11.3899538517 0.404864388851 .2 0.1 3.0 4 4
29 global -1.0 0.5 0.527522883905 7.58774423599 0.477522883905 .2 0.1 5.2 5 4
30 global 1.0 0.5 0.514293455215 12.7501511574 0.414293455215 .2 0.1 5.2 0 6
31 global -1.0 0.5 0.520050808231 6.40494394302 0.570050808231 .2 0.1 5.2 8 3
32 global 1.0 0.5 0.497726041365 7.94658899307 0.447726041365 .2 0.1 1.73 5 4
33 none 1.0 0.5 0.492353539044 7.13948106766 0.442353539044 .2 0.1 0.0 7 4
34 global -1.0 0.5 0.546943799045 5.46589398384 0.496943799045 .2 0.1 0.58 6 3
35 global 1.0 0.5 0.518171706113 4.79641985893 0.468171706113 .2 0.1 1.73 7 3
36 none -1.0 0.5 0.511099412949 6.46908402443 0.481099412949 .2 0.1 0.0 5 3
37 global 1.0 0.5 0.519861057811 9.3421330452 0.419861057811 .2 0.1 0.58 5 4
38 none -1.0 0.5 0.52033039767 3.93278694153 0.47033039767 .2 0.1 0.0 6 2
39 none 1.0 0.5 0.505396421763 4.00711202621 0.555396421763 .2 0.1 0.0 9 2
40 global 1.0 0.5 0.503604996262 3.80801296234 0.503604996262 .2 0.1 0.58 9 2
41 global -1.0 0.5 0.463270111201 14.6684989929 0.443270111201 .2 0.1 5.2 1 7
42 global 1.0 0.5 0.561365759228 6.74293994904 0.411365759228 .2 0.1 1.73 8 4
43 global -1.0 0.5 0.536487468713 8.7170290947 0.486487468713 .2 0.1 9.0 3 5
44 none -1.0 0.5 0.510091764931 11.5618309975 0.540091764931 .2 0.1 0.0 7 6
45 global 1.0 0.5 0.528860699957 10.4829308987 0.528860699957 .2 0.1 0.58 1 4
46 global -1.0 0.5 0.516319682339 4.20346283913 0.466319682339 .2 0.1 1.0 7 2
47 global -1.0 0.5 0.547056670487 3.95847201347 0.547056670487 .2 0.1 0.58 0 2
48 global 1.0 0.5 0.525610328239 8.97952795029 0.475610328239 .2 0.1 1.73 1 5
49 global 1.0 0.5 0.53894165738 5.86074900627 0.53894165738 .2 0.1 1.73 0 3
50 global 1.0 0.5 0.514732175231 4.99881601334 0.514732175231 .2 0.1 9.0 9 3
51 none 1.0 0.5 0.509088847361 12.5381188393 0.579088847361 .2 0.1 0.0 8 6
52 global 1.0 0.5 0.530196952622 10.7301409245 0.580196952622 .2 0.1 3.0 2 5
53 global 1.0 0.5 0.512175080639 6.81768989563 0.412175080639 .2 0.1 0.58 7 3
54 global 1.0 0.5 0.491592745413 6.00286698341 0.541592745413 .2 0.1 9.0 2 3
55 global -1.0 0.5 0.523009229274 7.93723797798 0.573009229274 .2 0.1 0.58 2 3
56 global -1.0 0.5 0.459909811942 9.76706600189 0.599909811942 .2 0.1 3.0 0 4
57 none -1.0 0.5 0.492909475905 13.2801339626 0.592909475905 .2 0.1 0.0 2 7
58 global -1.0 0.5 0.466342178025 8.91464281082 0.566342178025 .2 0.1 1.73 5 3
59 global 1.0 0.5 0.520335545462 5.23790717125 0.420335545462 .2 0.1 1.73 3 3
60 global -1.0 0.5 0.522179095389 10.3662719727 0.452179095389 .2 0.1 1.0 2 5
61 global 1.0 0.5 0.538175419042 8.51955008507 0.588175419042 .2 0.1 1.0 6 5
62 global 1.0 0.5 0.537566299728 14.786757946 0.537566299728 .2 0.1 1.0 3 7
63 global 1.0 0.5 0.545110467343 9.49282598495 0.445110467343 .2 0.1 5.2 7 3
64 global -1.0 0.5 0.560437783184 4.33158493042 0.560437783184 .2 0.1 1.0 4 2
65 global 1.0 0.5 0.506678166934 5.35805106163 0.456678166934 .2 0.1 5.2 9 3
66 global -1.0 0.5 0.51872849542 9.04589295387 0.51872849542 .2 0.1 1.0 1 6
67 global -1.0 0.5 0.557422935296 8.4059650898 0.457422935296 .2 0.1 5.2 0 4
68 global 1.0 0.5 0.54250660277 8.27331781387 0.54250660277 .2 0.1 1.0 4 4
69 global 1.0 0.5 0.544700050675 12.3793299198 0.514700050675 .2 0.1 1.0 5 4
70 global 1.0 0.5 0.532909316312 6.71241188049 0.562909316312 .2 0.1 3.0 0 3
71 global -1.0 0.5 0.542677408883 5.40256094933 0.592677408883 .2 0.1 9.0 2 3
72 global 1.0 0.5 0.547214377661 11.0001151562 0.447214377661 .2 0.1 3.0 7 5
73 global -1.0 0.5 0.477877738757 6.28969192505 0.577877738757 .2 0.1 1.73 0 3
74 global -1.0 0.5 0.507903912104 12.0449168682 0.587903912104 .2 0.1 9.0 5 5
75 global -1.0 0.5 0.517007761348 12.9318389893 0.427007761348 .2 0.1 9.0 4 7
76 global 1.0 0.5 0.499013099148 9.97841906548 0.549013099148 .2 0.1 0.58 0 4
77 none 1.0 0.5 0.513427736843 7.49548602104 0.413427736843 .2 0.1 0.0 2 3
78 global -1.0 0.5 0.512481216586 6.1369869709 0.412481216586 .2 0.1 9.0 0 3
79 global 1.0 0.5 0.525693917987 7.92396092415 0.425693917987 .2 0.1 5.2 4 3
80 global -1.0 0.5 0.532612587866 6.88642597198 0.542612587866 .2 0.1 9.0 8 3
81 global 1.0 0.5 0.530876354786 17.5646820068 0.430876354786 .2 0.1 9.0 8 6
82 global -1.0 0.5 0.514756223287 5.07128095627 0.414756223287 .2 0.1 3.0 3 2
83 global 1.0 0.5 0.475793310606 6.72630405426 0.575793310606 .2 0.1 9.0 0 3
84 global -1.0 0.5 0.476129399441 8.32256102562 0.426129399441 .2 0.1 1.73 8 4
85 global 1.0 0.5 0.499773787218 8.63556194305 0.449773787218 .2 0.1 5.2 5 5
86 none -1.0 0.5 0.539479664813 9.96820092201 0.539479664813 .2 0.1 0.0 0 4
87 global -1.0 0.5 0.564470882894 9.99810481071 0.564470882894 .2 0.1 0.58 3 6
88 global -1.0 0.5 0.488189364409 5.23613786697 0.538189364409 .2 0.1 5.2 2 3
89 global -1.0 0.5 0.478886357926 3.64363789558 0.478886357926 .2 0.1 5.2 6 2
90 global -1.0 0.5 0.523047424522 4.86004018784 0.523047424522 .2 0.1 1.73 4 2
91 global -1.0 0.5 0.520751319342 5.0120549202 0.520751319342 .2 0.1 1.0 5 2
92 global -1.0 0.5 0.488949362151 4.29271817207 0.538949362151 .2 0.1 1.73 2 2
93 global 1.0 0.5 0.574728294111 9.18501400948 0.424728294111 .2 0.1 3.0 5 5
94 global -1.0 0.5 0.4860393448 4.25197100639 0.5360393448 .2 0.1 3.0 6 2
95 global 1.0 0.5 0.481434041173 4.34772610664 0.481434041173 .2 0.1 9.0 5 2
96 global -1.0 0.5 0.533521909951 11.9646608829 0.533521909951 .2 0.1 0.58 1 7
97 none 1.0 0.5 0.503192289705 3.97664213181 0.503192289705 .2 0.1 0.0 4 2
98 none -1.0 0.5 0.50246841167 6.67888593674 0.50246841167 .2 0.1 0.0 3 4
99 global 1.0 0.5 0.486701745058 4.00903296471 0.436701745058 .2 0.1 9.0 3 2
100 global 1.0 0.5 0.51098706194 13.5993289948 0.49098706194 .2 0.1 1.0 7 7
101 none -1.0 0.5 0.49632184888 10.7387361526 0.44632184888 .2 0.1 0.0 4 6
102 global -1.0 0.5 0.543716873495 4.66883277893 0.593716873495 .2 0.1 1.0 8 2
103 global -1.0 0.5 0.549925973782 10.7933871746 0.569925973782 .2 0.1 9.0 9 5
104 global -1.0 0.5 0.507750036108 8.4632730484 0.407750036108 .2 0.1 1.73 6 4
105 none 1.0 0.5 0.510081251762 11.1915020943 0.410081251762 .2 0.1 0.0 1 6
106 global 1.0 0.5 0.518996232728 10.3048989773 0.598996232728 .2 0.1 1.0 2 5
107 global -1.0 0.5 0.498402237557 4.3983669281 0.598402237557 .2 0.1 5.2 9 2
108 global 1.0 0.5 0.537017274478 7.91319990158 0.537017274478 .2 0.1 3.0 4 4
109 global 1.0 0.5 0.491688084005 14.4838140011 0.441688084005 .2 0.1 1.0 0 6
110 global -1.0 0.5 0.517793778176 13.2074580193 0.487793778176 .2 0.1 1.73 9 7
111 global 1.0 0.5 0.51391205228 16.0416970253 0.44391205228 .2 0.1 9.0 1 7
112 global -1.0 0.5 0.554006927531 11.1174578667 0.504006927531 .2 0.1 1.0 0 5
113 global -1.0 0.5 0.528499132394 8.38770699501 0.428499132394 .2 0.1 1.0 6 4
114 global 1.0 0.5 0.513083831105 9.75856399536 0.413083831105 .2 0.1 5.2 6 4
115 global 1.0 0.5 0.540544169473 13.3767158985 0.410544169473 .2 0.1 3.0 9 6
116 global -1.0 0.5 0.51208566664 8.75418710709 0.54208566664 .2 0.1 1.0 9 4
117 global 1.0 0.5 0.496633591475 13.0010919571 0.446633591475 .2 0.1 0.58 6 5
118 global 1.0 0.5 0.532888889728 5.99052906036 0.532888889728 .2 0.1 1.0 9 4
119 global -1.0 0.5 0.530824649963 6.55566191673 0.550824649963 .2 0.1 1.0 3 3
120 global 1.0 0.5 0.51822058113 8.15719199181 0.56822058113 .2 0.1 9.0 4 3
121 global -1.0 0.5 0.547629923927 7.07563900948 0.497629923927 .2 0.1 0.58 7 4
122 global -1.0 0.5 0.495868130827 6.68603515625 0.445868130827 .2 0.1 3.0 2 3
123 global -1.0 0.5 0.53005301878 6.64393687248 0.53005301878 .2 0.1 3.0 7 3
124 global 1.0 0.5 0.52860847319 12.2422800064 0.45860847319 .2 0.1 5.2 2 6
125 global -1.0 0.5 0.516583934006 10.5730330944 0.426583934006 .2 0.1 9.0 7 5
126 global 1.0 0.5 0.542338346541 9.28861093521 0.462338346541 .2 0.1 0.58 8 4
127 global -1.0 0.5 0.517080883288 9.55147409439 0.567080883288 .2 0.1 5.2 4 3
128 global 1.0 0.5 0.529514530311 4.05322098732 0.529514530311 .2 0.1 1.73 9 2
129 global 1.0 0.5 0.51967865268 9.51025390625 0.46967865268 .2 0.1 9.0 6 4
130 global 1.0 0.5 0.546928743375 13.1730768681 0.596928743375 .2 0.1 3.0 6 7
131 global -1.0 0.5 0.584755404522 8.10620117188 0.584755404522 .2 0.1 0.58 4 4
132 global 1.0 0.5 0.596994390218 4.65247607231 0.596994390218 .2 0.1 3.0 8 2
133 global -1.0 0.5 0.533334337448 11.6147089005 0.573334337448 .2 0.1 1.73 3 6
