Trial noise_type coaxial_lum test_lum match_lum response_time match_initial grating_freq grating_contrast noise_freq rep view_count
0 global -1.0 0.5 0.518744281304 28.8839740753 0.438744281304 .4 0.1 9.0 0 6
1 global -1.0 0.5 0.488544721759 66.0505199432 0.548544721759 .4 0.1 5.2 2 19
2 global -1.0 0.5 0.514421630131 25.449821949 0.414421630131 .4 0.1 0.58 9 6
3 global 1.0 0.5 0.453512531483 20.5251569748 0.553512531483 .4 0.1 9.0 1 6
4 global -1.0 0.5 0.539763423707 34.2291140556 0.459763423707 .4 0.1 0.58 8 9
5 global -1.0 0.5 0.503343172795 49.6764822006 0.543343172795 .4 0.1 1.73 5 15
6 global -1.0 0.5 0.506237194023 41.2068550587 0.506237194023 .4 0.1 5.2 9 10
7 global 1.0 0.5 0.468251112299 18.9902510643 0.448251112299 .4 0.1 9.0 3 7
8 global -1.0 0.5 0.520983732914 27.7876219749 0.440983732914 .4 0.1 1.0 6 7
9 global 1.0 0.5 0.494986093573 67.2207019329 0.484986093573 .4 0.1 1.0 6 19
10 global 1.0 0.5 0.502434453305 53.8397550583 0.432434453305 .4 0.1 1.73 2 10
11 global 1.0 0.5 0.47740221236 29.1703350544 0.56740221236 .4 0.1 1.73 5 9
12 global 1.0 0.5 0.469957730372 25.0542068481 0.469957730372 .4 0.1 1.73 1 6
13 none 1.0 0.5 0.482777648679 24.055546999 0.462777648679 .4 0.1 0.0 3 8
14 global -1.0 0.5 0.49810331577 27.8663480282 0.50810331577 .4 0.1 1.73 0 9
15 global 1.0 0.5 0.489810446936 41.9906799793 0.499810446936 .4 0.1 1.73 0 13
16 global -1.0 0.5 0.507266726556 36.9817430973 0.487266726556 .4 0.1 5.2 8 10
17 global -1.0 0.5 0.472866261001 45.2238090038 0.552866261001 .4 0.1 3.0 6 16
18 global 1.0 0.5 0.451226664716 65.8864998817 0.521226664716 .4 0.1 5.2 2 20
19 global -1.0 0.5 0.488890750818 53.0327279568 0.598890750818 .4 0.1 3.0 4 17
20 global 1.0 0.5 0.475255333013 35.3730509281 0.455255333013 .4 0.1 0.58 0 11
21 global -1.0 0.5 0.510385532996 72.9930250645 0.420385532996 .4 0.1 1.73 3 17
22 global -1.0 0.5 0.509575851606 62.9385988712 0.539575851606 .4 0.1 0.58 0 17
23 global 1.0 0.5 0.438041290524 89.0173561573 0.568041290524 .4 0.1 5.2 8 27
24 global -1.0 0.5 0.511086539 91.5772628784 0.491086539 .4 0.1 1.0 2 23
25 none -1.0 0.5 0.545874973789 32.5828790665 0.525874973789 .4 0.1 0.0 3 12
26 none -1.0 0.5 0.516352637777 72.4032390118 0.586352637777 .4 0.1 0.0 6 22
27 none 1.0 0.5 0.498645486874 79.7316961288 0.428645486874 .4 0.1 0.0 7 22
28 global -1.0 0.5 0.532090029027 77.0691771507 0.572090029027 .4 0.1 0.58 2 20
29 global 1.0 0.5 0.493911281987 67.8481140137 0.433911281987 .4 0.1 3.0 1 22
30 global 1.0 0.5 0.476834447335 43.8438100815 0.496834447335 .4 0.1 3.0 4 13
31 global 1.0 0.5 0.464172672561 115.487457037 0.584172672561 .4 0.1 1.0 5 33
32 global 1.0 0.5 0.470618966712 97.7836928368 0.440618966712 .4 0.1 0.58 4 25
33 global -1.0 0.5 0.507938438504 45.4315619469 0.457938438504 .4 0.1 0.58 6 12
34 global -1.0 0.5 0.507307956954 51.381155014 0.467307956954 .4 0.1 1.0 7 15
35 global 1.0 0.5 0.472981832727 79.7540810108 0.532981832727 .4 0.1 1.0 2 21
36 global 1.0 0.5 0.479605001759 96.9680190086 0.449605001759 .4 0.1 1.73 9 29
37 none -1.0 0.5 0.519964252169 61.715569973 0.449964252169 .4 0.1 0.0 5 19
38 global -1.0 0.5 0.489120689312 58.8465590477 0.569120689312 .4 0.1 3.0 5 18
39 global -1.0 0.5 0.532756550369 85.30600214 0.592756550369 .4 0.1 0.58 7 26
40 global 1.0 0.5 0.448581160126 94.0074269772 0.468581160126 .4 0.1 3.0 0 30
41 global 1.0 0.5 0.471417048023 57.5505890846 0.501417048023 .4 0.1 0.58 2 19
42 global 1.0 0.5 0.455719514947 105.335597038 0.485719514947 .4 0.1 3.0 6 32
43 none 1.0 0.5 0.491396340654 94.7358131409 0.421396340654 .4 0.1 0.0 0 31
44 global -1.0 0.5 0.52903107362 72.7372541428 0.43903107362 .4 0.1 0.58 4 23
45 none -1.0 0.5 0.500361887613 30.0487270355 0.500361887613 .4 0.1 0.0 0 12
46 none -1.0 0.5 0.510725943953 52.8210539818 0.500725943953 .4 0.1 0.0 7 18
47 global -1.0 0.5 0.510468036524 81.7486889362 0.540468036524 .4 0.1 9.0 6 24
48 global 1.0 0.5 0.473772008811 41.4117159843 0.533772008811 .4 0.1 0.58 1 16
49 global 1.0 0.5 0.455493570754 31.4449391365 0.525493570754 .4 0.1 9.0 4 13
50 global -1.0 0.5 0.520322494807 56.9022738934 0.490322494807 .4 0.1 9.0 1 20
51 global 1.0 0.5 0.431576970495 52.403234005 0.591576970495 .4 0.1 3.0 2 19
52 none 1.0 0.5 0.468101600369 47.1850070953 0.548101600369 .4 0.1 0.0 9 13
53 global -1.0 0.5 0.492632890123 38.4862861633 0.582632890123 .4 0.1 1.73 7 13
54 global -1.0 0.5 0.421373416547 36.8611609936 0.441373416547 .4 0.1 3.0 2 14
55 global -1.0 0.5 0.471066953721 32.0168831348 0.581066953721 .4 0.1 3.0 7 10
56 global -1.0 0.5 0.474554453741 81.1479380131 0.434554453741 .4 0.1 1.0 4 28
57 global 1.0 0.5 0.47259999796 35.5610048771 0.56259999796 .4 0.1 3.0 8 11
58 global 1.0 0.5 0.469555603955 43.2897229195 0.579555603955 .4 0.1 1.0 0 15
59 global -1.0 0.5 0.451199919353 118.34471488 0.411199919353 .4 0.1 5.2 7 34
60 global -1.0 0.5 0.476819738544 82.7684509754 0.566819738544 .4 0.1 5.2 4 30
61 global -1.0 0.5 0.446371643193 59.1132059097 0.476371643193 .4 0.1 1.73 2 20
62 global -1.0 0.5 0.500180715577 50.2412228584 0.530180715577 .4 0.1 9.0 8 18
63 none 1.0 0.5 0.482740771795 28.8711080551 0.412740771795 .4 0.1 0.0 8 11
64 global 1.0 0.5 0.467330056499 63.2889559269 0.487330056499 .4 0.1 9.0 6 20
65 global 1.0 0.5 0.458222224245 19.4675431252 0.458222224245 .4 0.1 3.0 5 7
66 global -1.0 0.5 0.422594675399 15.1052289009 0.502594675399 .4 0.1 3.0 3 6
67 global 1.0 0.5 0.456870151201 37.0562798977 0.416870151201 .4 0.1 1.73 6 16
68 global 1.0 0.5 0.498503884629 21.7706120014 0.438503884629 .4 0.1 5.2 6 8
69 global -1.0 0.5 0.452234307263 52.6161170006 0.412234307263 .4 0.1 1.0 1 21
70 global 1.0 0.5 0.48111654915 50.2875020504 0.46111654915 .4 0.1 0.58 6 22
71 global -1.0 0.5 0.509817712711 28.496379137 0.429817712711 .4 0.1 9.0 3 10
72 global -1.0 0.5 0.520272181782 18.2134840488 0.500272181782 .4 0.1 9.0 2 5
73 global 1.0 0.5 0.454363975426 30.8848598003 0.434363975426 .4 0.1 0.58 8 12
74 global 1.0 0.5 0.439951610718 74.556787014 0.439951610718 .4 0.1 9.0 2 29
75 global 1.0 0.5 0.46817298368 13.2972459793 0.46817298368 .4 0.1 1.0 8 5
76 none 1.0 0.5 0.47226843663 17.3934018612 0.42226843663 .4 0.1 0.0 4 7
77 global 1.0 0.5 0.459981720991 27.2008728981 0.559981720991 .4 0.1 3.0 3 8
